2024-09-10,AUD,SGD,0.87
2024-09-10,AUD,USD,0.67
2024-09-10,AUD,EUR,0.60
2024-09-10,AUD,GBP,0.51
2024-09-10,AUD,JPY,95.63
2024-09-10,SGD,AUD,1.15
2024-09-10,SGD,USD,0.77
2024-09-10,SGD,EUR,0.69
2024-09-10,SGD,GBP,0.58
2024-09-10,SGD,JPY,109.96
2024-09-10,USD,AUD,1.50
2024-09-10,USD,SGD,1.31
2024-09-10,USD,EUR,0.91
2024-09-10,USD,GBP,0.76
2024-09-10,USD,JPY,143.68
2024-09-10,EUR,AUD,1.66
2024-09-10,EUR,SGD,1.44
2024-09-10,EUR,USD,1.10
2024-09-10,EUR,GBP,0.84
2024-09-10,EUR,JPY,158.67
2024-09-10,GBP,AUD,1.97
2024-09-10,GBP,SGD,1.71
2024-09-10,GBP,USD,1.31
2024-09-10,GBP,EUR,1.19
2024-09-10,GBP,JPY,188.05
2024-09-10,JPY,AUD,0.01
2024-09-10,JPY,SGD,0.01
2024-09-10,JPY,USD,0.01
2024-09-10,JPY,EUR,0.01
2024-09-10,JPY,GBP,0.01
